command,mean,stddev,median,user,system,min,max
bench/ad_bench/output/indirect_prop_t,0.15340751705555553,0.006807021413337199,0.14967746450000002,0.12103716666666665,0.04607044444444444,0.146686387,0.165008059
bench/ad_bench/output/naive,1.0210085789999999,0.1681064275672618,0.93532501,0.3388590666666667,0.6672367333333332,0.7964456560000001,1.312644033
bench/ad_bench/output/no_alloc,0.14236698423809527,0.02721835090308485,0.13644527,0.10034599999999998,0.0418135238095238,0.132482384,0.260517901
bench/ad_bench/output/ptr_dbl_cast,0.13824313904545454,0.012680161512649819,0.1348687355,0.09892363636363637,0.039075,0.13078878500000002,0.189535735
bench/chameneos_bench/output/chameneos_actors,0.003032962401878913,0.0003528257104484667,0.0029694945,0.002259779749478079,0.00037504801670146145,0.002638063,0.007193626000000001
bench/chameneos_bench/output/chameneos_effect_actors,0.003928239282580645,0.0002677274986601836,0.0038923940000000004,0.0029568967741935423,0.0006985303225806453,0.003456573,0.005605632
bench/chameneos_bench/output/chameneos_effect_direct,0.0010056176585730265,0.00012356256247757818,0.000989495,0.0006113376914456481,0.0000716712738139709,0.000814005,0.0017646510000000001
bench/exception_bench/output/cpp,0.14350228469999998,0.0019132912262758183,0.1434995145,0.14295085,0.00020025,0.140323582,0.14686002
bench/exception_bench/output/libseff,0.14489400023809523,0.012018306189933894,0.14278506200000002,0.019083047619047618,0.12633504761904762,0.138281182,0.19671939100000002
bench/exception_bench/output/libseff_norecycle,0.0106117639676259,0.0004671472145854699,0.0105290345,0.009109593525179859,0.0011510287769784175,0.009683807000000001,0.012360173
bench/exception_nested_bench/output/cpp,0.007958348588397796,0.00037615778331196456,0.0078844535,0.007184850828729278,0.0006518480662983424,0.007188020000000001,0.009673228
bench/exception_nested_bench/output/libseff,0.6960418501333334,0.10464261157319471,0.64653495,0.17223766666666665,0.5864826000000001,0.6354734430000001,0.911022863
bench/exception_nested_bench/output/libseff_norecycle,1.3053201755333335,0.09485993304987017,1.2769324100000001,0.21839573333333331,1.1629108666666668,1.175289764,1.4683392400000002
