command,mean,stddev,median,user,system,min,max
bench/ad_bench/output/indirect_prop_t,0.08262053075675672,0.005715901765731498,0.081148037,0.04778762162162161,0.034513972972972956,0.07509727000000001,0.101136155
bench/ad_bench/output/naive,0.7898033292666667,0.054388298752503714,0.766804946,0.21111093333333333,0.5785202,0.7360224310000001,0.882290356
bench/ad_bench/output/no_alloc,0.08849778835135136,0.024276506880631616,0.08186264900000001,0.04967797297297298,0.03832597297297296,0.075539404,0.217296022
bench/ad_bench/output/ptr_dbl_cast,0.08600767758620688,0.008489869379436877,0.082880231,0.04991731034482759,0.035192241379310346,0.075488158,0.104996453
bench/chameneos_bench/output/chameneos_actors,0.002150606928270042,0.00010644698972180252,0.002138613,0.0014632481012658233,0.00014629704641350207,0.00192237,0.003106831
bench/chameneos_bench/output/chameneos_effect_actors,0.002287988331184529,0.00017257181244250953,0.002263517,0.0015767727639000807,0.00016507332796132152,0.0020665,0.0055734420000000005
bench/chameneos_bench/output/chameneos_effect_direct,0.0005843158071416813,0.00006108888591945224,0.000575635,0.0002881502386045741,0.00002623268059897976,0.000449368,0.001198948
bench/exception_bench/output/cpp,0.1475580038,0.0020743036077219943,0.1472511815,0.14680405,0.0005941,0.14219267000000002,0.15086954900000002
bench/exception_bench/output/libseff,0.14758761705000004,0.00826774630995568,0.1454001175,0.015607249999999998,0.13172460000000003,0.141761515,0.18123159900000002
bench/exception_bench/output/libseff_norecycle,0.007310363129186615,0.0002878906961043149,0.0072641475,0.0061932966507177055,0.00023436842105263158,0.006826956,0.008499558
bench/exception_nested_bench/output/cpp,0.008073849027855155,0.00035196644677907033,0.008012948,0.0069281392757660175,0.00038088022284122556,0.007433335,0.009521822000000001
bench/exception_nested_bench/output/libseff,0.18363530435294118,0.02624590824536403,0.177420255,0.02209888235294118,0.16099388235294115,0.17169051200000002,0.284983081
bench/exception_nested_bench/output/libseff_norecycle,0.8611704965333333,0.11784874855458996,0.788120696,0.09381053333333332,0.7651628000000001,0.7642760890000001,1.053680308
bench/exception_rethrow_bench/output/cpp,1.2880653504666666,0.011521650078752704,1.287867166,1.287573733333333,0.00026626666666666667,1.270828547,1.313311073
bench/exception_rethrow_bench/output/libseff,0.7666608385333333,0.0673826404744322,0.724669619,0.080298,0.6859759999999999,0.714892847,0.888314711
bench/exception_rethrow_bench/output/libseff_norecycle,0.05998551661224492,0.001918313266918709,0.060253185,0.05912944897959184,0.0003953265306122449,0.055559229,0.0631491
bench/handler_stack_bench/output/mid,0.04911596517741937,0.004582205772755774,0.049104245000000005,0.04653925806451612,0.002137822580645161,0.039560268,0.061065275
bench/handler_stack_bench/output/real,0.12202738586956526,0.006528883443055971,0.12239691800000001,0.11990765217391308,0.001729086956521739,0.110964618,0.134538327
bench/handler_stack_bench/output/thin,0.03335322430769231,0.001735925203373942,0.033175942,0.031021021978021975,0.0017915824175824173,0.030136137,0.037489578
bench/handler_stack_bench/output/wide,0.068013778,0.002406176429734925,0.06767529700000001,0.06547928888888892,0.002265711111111111,0.063263873,0.074522238
bench/skynet_bench/output/libseff,0.08538612524242425,0.0018683686095141436,0.08557144200000001,0.0847320606060606,0.00035793939393939395,0.080466034,0.089440827
bench/skynet_bench/output/libseff_async,0.07884953424324324,0.002597157328970032,0.07895452700000001,0.6137134864864865,0.004862324324324324,0.073087831,0.08349692800000001
bench/skynet_bench/output/libseff_async_tk,0.09118746834375002,0.0036140798555909415,0.09232604400000001,0.6695381874999999,0.02814925,0.083660516,0.09758315000000001
bench/skynet_bench/output/libseff_scheff_poll,0.42326921406666673,0.03616127342461038,0.428954902,3.319007333333333,0.04041973333333334,0.33559329200000004,0.47662691500000004
bench/skynet_bench/output/libseff_scheff_sleep,0.09293956050000002,0.0025578721186178526,0.09225844600000001,0.6164908125000002,0.06254359375,0.088184788,0.09739547900000001
bench/skynet_syscall_bench/output/libseff,1.9364593806666666,0.09973855674024586,1.947688971,0.2592443333333333,1.6769813333333334,1.704861024,2.066928358
bench/skynet_syscall_bench/output/libseff_opt,0.4947622164666666,0.046219528695465306,0.476129489,0.11944746666666668,0.37512466666666655,0.46552254200000004,0.6266897530000001
bench/state_bench/output/c,0.015561122474999991,0.0007992263777328168,0.01558758,0.014096650000000002,0.000423215,0.013706227000000001,0.017935081000000002
bench/state_bench/output/cpp-effects,1.2606561974,0.007294933186148114,1.2594345150000001,1.258896,0.0010654666666666667,1.250969948,1.279248548
bench/state_bench/output/libhandler_general,6.8903202452,0.12396999350210273,6.846814908,4.282891733333333,2.6068836,6.709755026,7.195721302
bench/state_bench/output/libhandler_tail,0.10690066466666666,0.002887216109371621,0.106477662,0.10588933333333335,0.00043677777777777774,0.101626937,0.113806769
bench/state_bench/output/libhandler_tail_noop,0.08397402280555555,0.0024323042616910735,0.08359917050000001,0.08267144444444444,0.0006503055555555556,0.080908517,0.094138071
bench/state_bench/output/libmpeff_multi,0.8530526494,0.008707077774158377,0.8523707650000001,0.8512513999999999,0.00026546666666666665,0.839608345,0.872856319
bench/state_bench/output/libmpeff_once,0.6845999742000001,0.01144430261783551,0.6811621240000001,0.6830631333333331,0.0007965333333333334,0.670034185,0.707670299
bench/state_bench/output/libmpeff_scoped,0.8424831646666667,0.010054079339166359,0.838207464,0.8420158000000001,0.0002656,0.832285731,0.871135799
bench/state_bench/output/libmpeff_scoped_once,0.5781650253333335,0.007821540400701512,0.577264713,0.5774907333333332,0.0002656,0.5706142280000001,0.601607738
bench/state_bench/output/libmpeff_tail,0.07843082861538464,0.001567373710670406,0.078510591,0.07771115384615383,0.0003017692307692308,0.073677016,0.082096708
bench/state_bench/output/libmpeff_tail_noop,0.04918968099999999,0.0016655430139859769,0.0493813425,0.04810413333333332,0.0002533,0.043660294,0.052543561
bench/state_bench/output/libmprompt,0.5553019925333333,0.0035053407841541106,0.555060361,0.5542734,0.0007972,0.548634128,0.559716525
bench/state_bench/output/libseff,0.11014291455555557,0.0018784158767653832,0.110594522,0.10922807407407407,0.0005777037037037036,0.106245775,0.113341228
bench/state_bench/output/libseff_direct,0.10478454364285715,0.0014396262872743057,0.104741639,0.10399299999999999,0.00041699999999999994,0.10181463,0.10884955700000001
