command,mean,stddev,median,user,system,min,max,parameter_width
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 5,0.011959029384999997,0.000589040222713994,0.011938524,0.009633399999999997,0.002099605,0.010365877,0.014988672000000001,5
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 5,0.041624186633802816,0.002365664266370135,0.042134651,0.03324939436619718,0.008771281690140848,0.036205882,0.047736328,5
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 5,0.00836363568238994,0.001078438557839533,0.0078654175,0.00599316037735849,0.002247610062893081,0.0068331600000000004,0.011978366,5
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 10,0.013880620693617026,0.0010694199863195435,0.013821368,0.010828259574468087,0.002560374468085107,0.011260851,0.016736213,10
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 10,0.0521250809090909,0.0027222245474865076,0.052128555,0.04402738181818182,0.008562818181818184,0.046812615,0.060017468000000004,10
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 10,0.008343342654545458,0.00097911741343668,0.007991433000000001,0.005581958441558444,0.0022015662337662332,0.006870614000000001,0.01242301,10
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 15,0.014842881769230775,0.0011221117134635045,0.0148984565,0.011470999999999997,0.0027862472527472523,0.012112317000000001,0.018936591000000003,15
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 15,0.06559215008695651,0.0031414567529344218,0.0663435,0.05738723913043479,0.009225652173913041,0.055651717,0.070649401,15
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 15,0.008385560557432437,0.0009193191023084221,0.0081309405,0.005429064189189185,0.0021494527027027025,0.0070674710000000005,0.011169148,15
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 20,0.01747345572611465,0.0010752921930733802,0.017330798,0.014574159235668783,0.002602828025477707,0.015013665,0.021335494,20
