command,mean,stddev,median,user,system,min,max,parameter_width
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 0,0.009813490539622643,0.0008717974929456697,0.009623726,0.006923079245283022,0.0024509886792452827,0.008207469,0.01223709,0
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 0,0.008325864251655631,0.001219963242910493,0.007783357,0.0053954900662251636,0.0023879039735099352,0.006921073000000001,0.013184143,0
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 0,0.012075148339449535,0.0008033984654156865,0.011961530000000001,0.008943633027522935,0.0025626834862385304,0.009206158,0.015031416,0
libseff_binsearch_repo/bench/handler_stack_bench/output/massive 1000 1000 0,0.012523861604,0.001087401149386771,0.012331687000000001,0.008942904000000005,0.0026134400000000003,0.009984208000000001,0.015267769,0
libseff_binsearch_clever_repo/bench/handler_stack_bench/output/massive 1000 1000 0,0.012672743320158105,0.0007413668795314894,0.012718403000000001,0.009376292490118579,0.002582865612648221,0.010275937,0.014976032,0
libseff_automem_repo/bench/handler_stack_bench/output/massive 1000 1000 0,0.01079973372623574,0.0007486618471282186,0.010852091000000001,0.00759613307984791,0.0026361216730038024,0.00842705,0.012748268,0
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 10,0.009798866324999997,0.0004292713405515761,0.009774454500000002,0.006812549999999999,0.0025607468750000026,0.008458776000000001,0.010986200000000002,10
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 10,0.00909256939000001,0.0012393070456864488,0.009750894500000001,0.006368217499999999,0.0023018324999999995,0.006678239000000001,0.011350675000000001,10
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 10,0.01627342409625669,0.0007592281433228654,0.016375517000000003,0.013083711229946527,0.0027467647058823526,0.013705601000000001,0.018067147000000002,10
libseff_binsearch_repo/bench/handler_stack_bench/output/massive 1000 1000 10,0.015599061295336796,0.0006018128802858053,0.015530207,0.01222387046632125,0.002968544041450776,0.014086222,0.017196449000000003,10
libseff_binsearch_clever_repo/bench/handler_stack_bench/output/massive 1000 1000 10,0.016248092442622958,0.0006597503708623485,0.016281919000000002,0.012621672131147546,0.002988896174863388,0.013679239000000001,0.017584641,10
libseff_automem_repo/bench/handler_stack_bench/output/massive 1000 1000 10,0.009825396548821546,0.00044590282856212947,0.009841415000000001,0.006681791245791243,0.0026732457912457927,0.008674514000000001,0.011168534,10
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 20,0.012122650217391307,0.0003702305433276176,0.012110029000000001,0.008342272727272728,0.002739162055335968,0.011288596000000001,0.013357115000000001,20
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 20,0.009178894447019872,0.0011703381979396273,0.009770658000000002,0.0064816291390728505,0.002274778145695363,0.006893523,0.011136658,20
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 20,0.018217532857142858,0.0009809371823215165,0.018122263,0.015060795918367344,0.0027310884353741495,0.015518937000000002,0.020892342,20
libseff_binsearch_repo/bench/handler_stack_bench/output/massive 1000 1000 20,0.014601883107692304,0.0006720576154868724,0.014695956000000001,0.010855297435897433,0.003270466666666666,0.012539972,0.016382081,20
libseff_binsearch_clever_repo/bench/handler_stack_bench/output/massive 1000 1000 20,0.01709342993922652,0.0008147856652689314,0.017044645,0.013661790055248615,0.002886093922651935,0.015341586,0.019698709000000002,20
libseff_automem_repo/bench/handler_stack_bench/output/massive 1000 1000 20,0.01200298932806324,0.0003424785068790019,0.011974144,0.008646106719367594,0.0029347193675889316,0.011170323000000001,0.013412477,20
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 30,0.016708604520710064,0.0006925998519730541,0.016556039,0.013263201183431949,0.0029144082840236673,0.01542535,0.018960039,30
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 30,0.0082279576453202,0.0010916738667012286,0.007673837500000001,0.005417216748768476,0.002408485221674876,0.006765129000000001,0.010544302,30
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 30,0.022997720781249995,0.0008123226640418683,0.023080729,0.019560906249999992,0.003093289062500001,0.021021328000000002,0.024937043000000002,30
libseff_binsearch_repo/bench/handler_stack_bench/output/massive 1000 1000 30,0.015158352629629626,0.0007407858549291826,0.015208071,0.011140190476190477,0.0032973492063492066,0.013062075000000001,0.018032259000000002,30
libseff_binsearch_clever_repo/bench/handler_stack_bench/output/massive 1000 1000 30,0.02171554964444445,0.0012771769305969871,0.021567964000000002,0.017673400000000002,0.0036564962962962974,0.01906845,0.026413428000000003,30
